idiom_en,meaning_en,literal_en,sentence_en
life's gamble,the play of life; the game of the world,,
Conjurer,"Sleight-of-hand artist, magician",,
Illusionist,"Sleight-of-hand artist, magician",,
The die is cast,The game is over; the win or loss of the game is decided; death,,
End of the line,The game is over; the win or loss of the game is decided; death,,
Win the game,Victory in a game or competition; settling of win or loss,,
Come out on top,Victory in a game or competition; settling of win or loss,,
put to the test,to test or examine,,
give it a whirl,to test or examine,,
extortion,"Collecting money or funds for purposes other than the intended or specified one, often implying illegality or misuse",,
illegal levy,"Collecting money or funds for purposes other than the intended or specified one, often implying illegality or misuse",,
Waste of money,Unnecessary expense that can be avoided,,
Common as dirt,Something easily available or readily obtainable,,
bad company,unrelated outsiders or worthless people,,
undesirables,unrelated outsiders or worthless people,,
Kalpataru (direct equivalent from Hindu mythology),A special heavenly tree that fulfills all desires,,
Wishing tree,A special heavenly tree that fulfills all desires,,
Cornucopia,A special heavenly tree that fulfills all desires,,
Fairy godmother,A person who fulfills all desires,,
wish-granter,A person who fulfills one's heart's desires,,
highwaymen,"Thugs, fraudulent looters; banditry, highway robbery, plundering",,
band of robbers,"Thugs, fraudulent looters; banditry, highway robbery, plundering",,
footpads,"Thugs, fraudulent looters; banditry, highway robbery, plundering",,
Rising star,On the rise or growing progressively,,
On the up and up,On the rise or growing progressively,,
The well has run dry,"Euphemistic expression for depletion or complete exhaustion of resources, especially rice",,
Down to brass tacks (indicating scarcity),"Euphemistic expression for depletion or complete exhaustion of resources, especially rice",,
Infernal fire,Subterranean or volcanic fire from the depths of the earth or ocean,,
Fire and brimstone,Subterranean or volcanic fire from the depths of the earth or ocean,,
skyrocketing growth,Tautological compound word; extreme prosperity or flourishing,,
booming success,Tautological compound word; extreme prosperity or flourishing,,
Getting too big for one's boots,Showing arrogance and haughtiness; disregarding advice; exceeding the limits of tolerance,,
take a turn for the worse,Reduplicative word; increase in severity or aggravation,,
go from bad to worse,Reduplicative word; increase in severity or aggravation,,
Fair-weather friends,"Relatives during times of enjoyment or feasting, but absent during times of work or hardship",,
Only show up for the good times,"Relatives during times of enjoyment or feasting, but absent during times of work or hardship",,
Pour cold water on plans,An obstacle or interference just before achieving success or fruition,,
reap without sowing,A woman who shares in the success of accomplished work without doing anything herself,,
Blow hot air,"To boast or indulge in empty, boastful talk sarcastically",,
have clout,influence,,
Breathe in the breeze,To enjoy fresh air or the breeze from a fan,,
A jinxed woman,An ill-omened or unlucky woman,,
A bearer of bad luck,An ill-omened or unlucky woman,,
Catch a chill,To be affected by the influence of a malevolent deity in the form of wind,,
Flogging a dead horse,"Futile effort, something that is not meant to happen",,
willowy,slender and tall; slim; a woman with a slender build,,
To get too big for one's boots,To become extremely elated or arrogant,,
the rest,The remainder or what is left over,,
leftovers,The remainder or what is left over,,
what remains,The remainder or what is left over,,
After deductions,Deduction of a certain amount; synonyms like cutting or allowances,,
Net of expenses,Deduction of a certain amount; synonyms like cutting or allowances,,
Throw a spanner in the works,To create hindrance or interference,,
Mama's girl,A woman who desires to leave her husband's home and return to her parental home,,
Run back home to parents,A woman who desires to leave her husband's home and return to her parental home,,
back-and-forth argument,"verbal sparring, intense argumentation",,
Suck the life out of something,To make something insipid or withered by draining its essence,,
Drain the fun from,To make something insipid or withered by draining its essence,,
Leave high and dry,To make something insipid or withered by draining its essence,,
Hanging on for dear life,Hanging in a suspended state like a bat,,
obstacles and hurdles,Synonymous compound words; various kinds of hindrances; objections; prohibitions,,
barriers and impediments,Synonymous compound words; various kinds of hindrances; objections; prohibitions,,
all washed up,completely ruined or destroyed,,
ruined,completely ruined or destroyed,,
retire from the world,"In middle age, renouncing household duties and entering the third stage of life by retiring to the forest to spend the remaining years in contemplation of the divine",,
take up the hermit life,"In middle age, renouncing household duties and entering the third stage of life by retiring to the forest to spend the remaining years in contemplation of the divine",,
Monkey-faced,An ugly-looking person; a specific insult,,
Ugly as a monkey,An ugly-looking person; a specific insult,,
Peanuts to an elephant,Minimal provision at the time of need; receiving much less than required compared to the necessity,,
dangling a carrot,Attempting to accomplish one's objective by tempting with something desirable,,
clowning about,An awkward or grotesque dance like a monkey's; a pitiable or wretched condition; distress or suffering,,
cunning merchant,"In a negative sense - a shrewd, business-savvy person who is excessively cautious about profit and loss",,
drifter from nowhere,An object of contempt or disdain,,
Devoted servant,A loyal or subordinate person,,
Wild rumor,Baseless or unfounded rumor,,
Groundless gossip,Baseless or unfounded rumor,,
easy mark,"sarcastically or jokingly, a straightforward and simple person",,
gullible fool,"sarcastically or jokingly, a straightforward and simple person",,
ancestral property,Ancestral; from the father's era,,
paternal inheritance,Ancestral; from the father's era,,
Ungrateful child,A completely disrespectful son,,
Cursing someone's entire lineage,"Cursing by invoking ancestors such as father, grandfather, great-grandfather, and so on",,
Damning one's forebears,"Cursing by invoking ancestors such as father, grandfather, great-grandfather, and so on",,
Sir (as a term of respect),A respectful form of address used for Brahmins,,
Reverend (for religious figures),A respectful form of address used for Brahmins,,
Back in grandfather's time,"A long time ago, in ancient times",,
In olden days,"A long time ago, in ancient times",,
Cussing out someone's family,Invoking one's father to hurl abuses or curses,,
Dragging parents into an argument,Invoking one's father to hurl abuses or curses,,
Cry uncle,To completely deny or submit; to accept subjugation or defeat in total surrender,,
Talking smack about someone's family,Abusing someone by invoking or cursing their father's name,,
Cursing one's ancestors,Abusing someone by invoking or cursing their father's name,,
Talking smack about someone's mom (as in 'yo mama' jokes),Abusing or insulting someone by invoking or mentioning their parents,,
Face only a mother could love,Despicable; ugly; grotesque or bizarre in appearance,,
It's not my funeral,A grave responsibility or burden that forces one to admit defeat or incapacity,,
Not my cross to bear,A grave responsibility or burden that forces one to admit defeat or incapacity,,
My goodness!,"Exclamation of distress; expressions of fear, surprise, sorrow, etc.",,
Damn your family,To curse someone's father to hell; to hurl severe abuses; to curse by invoking someone's fourteen generations,,
Curse your ancestors,To curse someone's father to hell; to hurl severe abuses; to curse by invoking someone's fourteen generations,,
Send you to hell,To curse someone's father to hell; to hurl severe abuses; to curse by invoking someone's fourteen generations,,
Not in my lifetime,"Never; at any time or day; not even in one's own lifetime, let alone in previous eras",,
When hell freezes over,"Never; at any time or day; not even in one's own lifetime, let alone in previous eras",,
In a pig's eye,"Never; at any time or day; not even in one's own lifetime, let alone in previous eras",,
Your mother jokes (insulting references to one's mother),Cursing someone by wishing death upon their mother,,
Wishing ill on one's family,Cursing someone by wishing death upon their mother,,
Even Hercules couldn't do it,"Beyond one's capacity, something impossible even for the father",,
Even the mightiest have their match,No one is invincible; there is always someone superior who can humble or control them,,
put one's feet up,To sit cross-legged with one foot placed over the knee in a relaxed or leisurely posture,,
highbrow attitude,"Pride in Brahmin identity, boasting or arrogance",,
priestly pomp,"Pride in Brahmin identity, boasting or arrogance",,
"Low maintenance, high yield","A cow that eats little but gives a lot of milk; metaphorically, something or someone that provides high output with minimal input or maintenance",,
Reaching for the stars unrealistically,Attempt by the unqualified to achieve something grand; aspiration beyond one's capabilities; futile effort to attain the impossible,,
The Opposition,The members seated on the left side of the speaker in the legislative assembly; the opposition party,,
Left-wing politics,The members seated on the left side of the speaker in the legislative assembly; the opposition party,,
liberal left,Progressive political ideology in politics,,
Left-hand path (in occultism and Tantra),"According to Tantra, the supreme or best ritual practice",,
pros and cons,good and bad,,
for better or worse,good and bad,,
Left-hand path,Practices contrary to the Vedas or unorthodox rituals,,
Black magic,Practices contrary to the Vedas or unorthodox rituals,,
stolen loot,stolen or abducted property,,
pundit,Brahmin priest,,
A priest turned handyman,A Brahmin who works as a cook,,
Fallen nobility doing menial labor,A Brahmin who works as a cook,,
holy roller,A devout Brahmin woman or pious lady,,
devout soul,A devout Brahmin woman or pious lady,,
"Calling someone 'big brother' or 'auntie' in a respectful, pseudo-familial way","In Hindu society, the rural lower castes addressing Brahmins as elder brother, sister, or mother to show respect or familiarity",,
the nitty-gritty,the whole story; minute details; detailed account,,
blow-by-blow account,the whole story; minute details; detailed account,,
Stall for time,To procrastinate or waste time by making excuses,,
Change of scene,Going from one place to another for health recovery,,
out of one's mind,Disease of madness; disease of frenzy or insanity,,
Up-and-coming,Progressive or on the rise,,
Sowing one's wild oats,A man who frequents brothels or becomes infatuated with another man's wife despite having his own wife at home,,
Straying husband,A man who frequents brothels or becomes infatuated with another man's wife despite having his own wife at home,,
Inauspicious time,The part of the day when travel or auspicious activities are prohibited,,
Sow one's wild oats,A man who visits brothels or engages in extramarital affairs despite having a wife at home,,
Stray from the marital bed,A man who visits brothels or engages in extramarital affairs despite having a wife at home,,
A philanderer at home,A man who visits brothels or engages in extramarital affairs despite having a wife at home,,
Tickled pink,To be filled with extreme joy or ecstasy,,
go off the deep end,"to go completely crazy or haywire, often in jest or excitement",,
hit the roof,"to go completely crazy or haywire, often in jest or excitement",,
a den of thieves,"a gang of thieves, rogues, and miscreants",,
a pack of wolves,"a gang of thieves, rogues, and miscreants",,
bloom of youth,The age of attaining puberty; the beginning of youth,,
lowlifes,various unwanted or undesirable people,,
Vultures circling,A group of unrelated or distant relatives,,
Relatives coming out of the woodwork,A group of unrelated or distant relatives,,
all year round,"daily, every day, always, all the time, throughout the year",,
Non-stop celebrations,A situation where festivals or celebrations are continuous; an excess of festivals,,
A party every day,A situation where festivals or celebrations are continuous; an excess of festivals,,
year-round crop,A crop that grows in all seasons of the year,,
evergreen harvest,A crop that grows in all seasons of the year,,
community effort,Conducted with the cooperation of many people,,
collective endeavor,Conducted with the cooperation of many people,,
drag on forever,excessively long or protracted,,
interminable tale,excessively long or protracted,,
More bark than bite,"Sarcastically, more pomp and show than actual substance or work",,
Straining at a gnat while swallowing a camel,"Sarcastically, ignoring the main issue and exaggerating over trivial matters",,
Prices are going up,Rising prices or bull market,,
One too many,Unusually excessive or one too many,,
Take one's troubles to the grave,To die while bearing the troubles or misfortunes of a loved one,,
Die with a heavy heart,To die while bearing the troubles or misfortunes of a loved one,,
built on shifting sands,Temporary or fragile protective measure,,
Nip it in the bud,Husband's initiative to prove his strength to his wife; a strategy to eliminate potential crises in the bud,,
Wear the pants in the relationship,Husband's initiative to prove his strength to his wife; a strategy to eliminate potential crises in the bud,,
Dowry payment,The money or valuables that the bride's family receives from the groom's family in consideration for the wedding night vigil,,
Bridal gift exchange,The money or valuables that the bride's family receives from the groom's family in consideration for the wedding night vigil,,
temporary digs,A rented house for temporary residence,,
crash pad,A rented house for temporary residence,,
rental accommodation,A rented house for temporary residence,,
Ancestral home,"The piece of land where dwellings have been established generation after generation, symbolizing ancestral homeland",,
Native soil,"The piece of land where dwellings have been established generation after generation, symbolizing ancestral homeland",,
Roots of the family tree,"The piece of land where dwellings have been established generation after generation, symbolizing ancestral homeland",,
your sidekick,"sarcastically, a follower or henchman",,
your lackey,"sarcastically, a follower or henchman",,
Doddering fool,"A weak, unintelligent, and idle elderly person",,
Senile old man,"A weak, unintelligent, and idle elderly person",,
in one's dotage,Becoming senseless or losing one's intellect due to old age,,
barbed remarks,"To speak in a stinging, hurtful manner with indirect or sarcastic remarks that wound others' feelings",,
cutting words,"To speak in a stinging, hurtful manner with indirect or sarcastic remarks that wound others' feelings",,
Insatiable thirst,Whose thirst has no end,,
You can tell a book by its cover,One can guess the outcome just by seeing the beginning of the work,,
Send to the scrapheap,To sell or destroy something (often implying disposal of worthless items),,
Write off as a loss,To sell or destroy something (often implying disposal of worthless items),,
melt one's heart,Overwhelmed with emotion or joy,,
overcome with emotion,Overwhelmed with emotion or joy,,
Tradition over reason,Blind adherence to customs without regard for reason,,
Custom before common sense,Blind adherence to customs without regard for reason,,
Rock hard,As hard as a seed (extremely tough or difficult),,
Beyond hope,Beyond all forms of treatment,,
Incurable case,Beyond all forms of treatment,,
Past all remedy,Beyond all forms of treatment,,
scorpion's sting,intense or excruciating pain,,
the sting of conscience,"regret, intense remorse",,
pangs of regret,"regret, intense remorse",,
hideous,"Having an awkward or grotesque shape, ugly, deformed, bizarre, repulsive",,
talk in one's sleep,To mutter or talk to oneself in indistinct or unclear pronunciation,,
Put through the paces,The command to repeatedly stand up and sit down as a form of punishment in school,,
Stand in the corner,The command to repeatedly stand up and sit down as a form of punishment in school,,
boo,To make a mocking or derisive sound; comparable to jeering or catcalling,,
Shell game (shuffling to confuse),"Frequent relocation or shifting around to hide or protect something, similar to how a cat moves its kittens to secret places",,
Moving the goalposts (evasive changes),"Frequent relocation or shifting around to hide or protect something, similar to how a cat moves its kittens to secret places",,
Cat-eyed beauty,A woman with cat-like eyes,,
Feline gaze,A woman with cat-like eyes,,
short memory for grudges,"Forgetting anger, vows, or feelings of insult in a very short time; shamelessness; inherent character flaw",,
quick to forgive and forget,"Forgetting anger, vows, or feelings of insult in a very short time; shamelessness; inherent character flaw",,
Bell the cat,Taking the risk of performing a necessary but dangerous task,,
To fall flat on one's face,To be caught in a humiliating or wretched misfortune,,
To be up shit creek,To be caught in a humiliating or wretched misfortune,,
Jump the gun,Hasty decision without opportunity for deliberation,,
Act on impulse,Hasty decision without opportunity for deliberation,,
It fell into one's lap,To obtain a desired opportunity by sheer luck without any effort,,
Even a blind squirrel finds a nut sometimes,To obtain a desired opportunity by sheer luck without any effort,,
humble offering,Poor man's dal-rice; a meager gift from the poor,,
peasant's meal,Poor man's dal-rice; a meager gift from the poor,,
It's the thought that counts,Inferior food offered with devotion is more preferable than superior food offered without respect,,
A meal with love is better than a feast without,Inferior food offered with devotion is more preferable than superior food offered without respect,,
know-it-all fool,"sarcastically, utterly foolish or great fool",,
pedantic idiot,"sarcastically, utterly foolish or great fool",,
to show off one's knowledge,to flaunt or show off one's knowledge,,
to parade one's learning,to flaunt or show off one's knowledge,,
Knowledge peddler,Salaried teacher,,
Paid tutor,Salaried teacher,,
Wise in one's own conceit,Sarcastically referring to someone with superficial or little knowledge,,
walking encyclopedia (positive),In praise: extremely learned or knowledgeable; in sarcasm: great fool,,
know-it-all (sarcastic),In praise: extremely learned or knowledgeable; in sarcasm: great fool,,
sharing close quarters,Intimacy; living or staying together,,
Lightning fast,Extremely fast speed,,
The Almighty Creator,The Creator Brahma,,
the Divine,God; Allah; the Creator,,
dos and don'ts,Rules and regulations; discipline of rules,,
Lady Luck is smiling,The goddess of fortune is pleased,,
according to canon,Established by scriptures; regulated or systematized,,
The gods are against us,The creator is displeased,,
Fate is unkind,The creator is displeased,,
Cruel joke of destiny,The trickery or mockery of fate,,
Fate's decree,The script of destiny,,
Plowing the sand,Doing useless or insignificant work,,
freak accident,an unforeseen calamity caused by fate or divine will,,
moon-faced beauty,a beautiful woman,,
There's no fool like an old fool,Loss of intellect in old age,,
Praying in the eleventh hour,Dependence on God's mercy in untimely or desperate situations; a plea for divine help when in peril,,
not a whit,"The slightest hint or amount; not at all, the tiniest quantity",,
go-between in romance,A messenger in secret love who secretly exchanges letters or messages,,
Cupid's intermediary,A messenger in secret love who secretly exchanges letters or messages,,
past and future,past and future,,
Plow under,To persecute or torture in order to uproot and eliminate opponents or protesters,,
Root out dissent,To persecute or torture in order to uproot and eliminate opponents or protesters,,
Lose one's head in a crisis,Bewildered or losing one's wits in times of crisis,,
Panic under pressure,Bewildered or losing one's wits in times of crisis,,
Turning to God in times of trouble,Dependence on God's mercy in times of crisis,,
Praying for divine help in adversity,Dependence on God's mercy in times of crisis,,
aping the elite,Ostentatious luxury imitating European women's style,,
my love,Beloved woman; affectionate term of address for one's wife or bride,,
scary as hell,Extremely terrifying,,
a real monster,Extremely terrifying,,
Judas,enemy within the home or household traitor,,
stepmotherly treatment,Neglectful or indifferent,,
cold indifference,Neglectful or indifferent,,
the gods are against you,displeased or unfavorable,,
fall out of favor,displeased or unfavorable,,
Fortune turns its back,Unfavorable or adverse (especially regarding fate),,
Lady Luck deserts one,Unfavorable or adverse (especially regarding fate),,
Well begun is half done,"Once you start a task, half of it is already accomplished",,
marriage-crazy,Eager or desperate to get married,,
dying to tie the knot,Eager or desperate to get married,,
Seeing the light at the end of the tunnel,Heaving a deep sigh of relief upon escaping danger,,
Carries a lot of weight,"Very powerful and solid weight; immense burden, heavy weight or influence",,
a resounding slap,The most severe or tremendous blow,,
entirely,completely,,
Drowning in troubles,In extreme distress; beyond any solution,,
Poison in the heart,"Hatred, envy, and similar malicious mental attitudes",,
Full of venom,"Hatred, envy, and similar malicious mental attitudes",,
the evil eye,evil eye or one who casts the evil eye,,
"Achilles' heel (for weakness, but metaphorically for a core flaw)",The root cause of arrogance or haughtiness,,
the root of one's vanity,The root cause of arrogance or haughtiness,,
Draw one's fangs (to disarm or neutralize a threat),Power to cause harm or mischief; cause of arrogance,,
Venomous bite (harmful intent),Power to cause harm or mischief; cause of arrogance,,
The glance of the evil eye,Evil eye,,
Dirty look,Malicious or envious gaze,,
To incur someone's displeasure,To become the object of displeasure or wrath,,
To be under a cloud,To become the object of displeasure or wrath,,
a paper tiger,"Like a poisonless snake raising its hood, the vain struggles of the incompetent; the pride, arrogance, anger, bluster, and verbal fussing of the worthless",,
Small fish in a big pond (reverse),Superstitious; narrow-minded or homebound person; coward,,
Nurse a serpent in one's bosom,"The source of immorality or wrongdoing, which if nurtured leads to one's own complete destruction",,
Go down the wrong pipe,The onset of choking or breathlessness while swallowing food,,
Choke on one's food,The onset of choking or breathlessness while swallowing food,,
worldly goods,"Wealth, financial assets, property",,
material possessions,"Wealth, financial assets, property",,
Horse sense,Common sense; worldly knowledge; cunning intelligence in managing property,,
One thorn draws out another,One enemy destroys another,,
A viper in one's bosom,A spiteful or malicious mind,,
Poisonous personality,A spiteful or malicious mind,,
the sword of justice,An infallible weapon that suppresses unjust and evil forces,,
Get off on the wrong foot,Mistake or error right from the beginning,,
Rocky start,Mistake or error right from the beginning,,
bland,lacking attraction or interest,,
insipid,lacking attraction or interest,,
tasteless,lacking attraction or interest,,
The world belongs to the brave,The earth is to be enjoyed by the brave,,
heroine,A woman who embodies bravery; a courageous woman,,
valiant woman,A woman who embodies bravery; a courageous woman,,
woman of valor,A woman who embodies bravery; a courageous woman,,
To book a shipment,To arrange for sending goods via train or similar means,,
To freight goods,To arrange for sending goods via train or similar means,,
shaking with fear,to feel fear or terror,,
Burning with envy,To feel one's heart bursting with jealousy or envy,,
Fit to burst with jealousy,To feel one's heart bursting with jealousy or envy,,
wring one's hands,to lament or express despair,,
puff out one's chest,To express courage or confidence,,
stand tall with bravery,To express courage or confidence,,
Walk tall,To proceed without hesitation or with courage,,
Face the world boldly,To proceed without hesitation or with courage,,
hit-or-miss farmland,Land that is cultivated in some years and left uncultivated in others,,
fickle soil,Land that is cultivated in some years and left uncultivated in others,,
swell with pride,The heart expanding with joy and enthusiasm; increased enthusiasm and courage; feeling proud,,
burst with pride,The heart expanding with joy and enthusiasm; increased enthusiasm and courage; feeling proud,,
Put one's heart and soul into it,To help wholeheartedly in a task; to assist to the best of one's ability; to provide help with one's body and mind,,
heart racing,The heart beating rapidly due to weakness or fear,,
palpitations from fear,The heart beating rapidly due to weakness or fear,,
Brace oneself,To be prepared to endure sorrow and hardship,,
Steel one's heart,To be prepared to endure sorrow and hardship,,
break one's heart,To break down in mental anguish; to experience intense sorrow or grief,,
tear one's heart out,To break down in mental anguish; to experience intense sorrow or grief,,
have a secret eating away at you,"Despite a strong inner urge to express secret thoughts or desires, they remain unspoken",,
Swollen with pride,"To act arrogantly, to feel the heart expand with joy and enthusiasm; to express pride",,
keep one's fingers crossed,to hope; to be hopeful,,
hope for the best,to hope; to be hopeful,,
Keep a stiff upper lip,To maintain patience and composure in times of adversity,,
Brace yourself,To maintain patience and composure in times of adversity,,
Hold your nerve,To maintain patience and composure in times of adversity,,
pluck up courage,To gain or increase courage,,
take heart,To gain or increase courage,,
lose heart,To suffer heart-wrenching pain from sorrow and grief; to disappoint or be disappointed; to become disheartened or lose courage,,
heart-rending,Intense expression of grief,,
become disheartened,Loss of hope and confidence; feeling discouraged,,
To have one's heart in one's mouth,To feel fear or terror,,
To quake with fear,To feel fear or terror,,
pounce upon,to attack or pounce upon,,
fall upon,to attack or pounce upon,,
launch an attack,to attack or pounce upon,,
eat one's heart out,To writhe in inner torment due to intense envy or longing; the heart bursting with jealousy,,
Jump out of one's skin,To be intensely terrified; heart pounding with fear; increased heartbeat due to fright,,
Break into a cold sweat,To be intensely terrified; heart pounding with fear; increased heartbeat due to fright,,
prodigal spender,extravagant spender; wasteful with wealth; destroyer of property,,
money waster,extravagant spender; wasteful with wealth; destroyer of property,,
blood boiling,blood becoming restless or agitated,,
Show partiality,To favor or pamper one person while neglecting or disrespecting another,,
to dote upon,To raise a child with utmost care and affection,,
crawl on all fours,to crawl on hands and knees,,
go on hands and knees,to crawl on hands and knees,,
Hand on heart,Said with sincerity or courage,,
be bold as brass,"courage, audacity",,
Suck the lifeblood out of someone,To torment endlessly and push someone to the brink of death,,
Drive to an early grave,To torment endlessly and push someone to the brink of death,,
Give one's right arm,"To give one's life; to sacrifice oneself for the benefit of others, accepting personal loss",,
Bleed for someone,"To give one's life; to sacrifice oneself for the benefit of others, accepting personal loss",,
elder statesman,"Respectfully referring to an elderly and wise person, a respected elder",,
reach an understanding,Settlement or resolution through discussion; compromise,,
come to terms,Settlement or resolution through discussion; compromise,,
strike a deal,Settlement or resolution through discussion; compromise,,
On the same wavelength,Mutual understanding; knowing each other's sentiments,,
See eye to eye,Mutual understanding; knowing each other's sentiments,,
use your common sense,Companion words; judging and considering with intelligence; listening attentively with the mind and comprehending deeply,,
listen with your heart,Companion words; judging and considering with intelligence; listening attentively with the mind and comprehending deeply,,
Silly old codger,Foolish old man,,
Paying lip service,Nominal adherence to rules,,
To barge in and take over,Suddenly arriving and taking complete control as the authority; usurping unauthorized power,,
To muscle one's way in,Suddenly arriving and taking complete control as the authority; usurping unauthorized power,,
To come out of the blue and seize control,Suddenly arriving and taking complete control as the authority; usurping unauthorized power,,
Suck one's thumb,Nothing; to be left empty-handed or idle,,
give someone the finger,to disregard or dismiss contemptuously,,
Thumbing one's nose,"To defy or mock authority, to cheat or deceive openly",,
Giving the middle finger,"To defy or mock authority, to cheat or deceive openly",,
Flipping the bird,"To defy or mock authority, to cheat or deceive openly",,
Silly old fool,A mocking term for an elderly person who behaves like a child,,
Big kid in an old body,A mocking term for an elderly person who behaves like a child,,
Old codger,Extremely old person,,
Doddering elder,Extremely old person,,
Grumpy old coot,Old in age but behaves like an animal,,
old coot,"a contemptible, disrespectful, and vile old man",,
A fool at forty is a fool indeed,Interest in hobbies or luxuries in old age,,
Lecherous in one's dotage,Intense desire for sexual intercourse in old age,,
Helping hand,Index finger; right hand,,
rumor,Rumor; unfounded talk/news,,
tough old bird,A person who lives to a very old age,,
lives to a ripe old age,A person who lives to a very old age,,
nymphomaniac (informal),A lustful or sexually desirous woman,,
Grudging charity,Performing good deeds unwillingly or reluctantly,,
To give with a heavy heart,Performing good deeds unwillingly or reluctantly,,
Old dog has new tricks,A surprising demonstration of experience,,
Still got it after all these years,A surprising demonstration of experience,,
decrepit old man,Frail elderly person,,
bent with age,Frail elderly person,,
Wise as Solomon,In positive sense: Extremely intelligent like the mythological guru of the gods Brihaspati; a great scholar. In sarcasm: Lacking intelligence or a complete fool.,,
Put on one's thinking cap,Smoking to enhance mental acuity or awaken intelligence,,
thick-skulled,An utterly foolish person like a massive mortar; a complete idiot; senseless or foolhardy,,
sound judgment,"knowledge and intelligence, sharp judgment, intellect and refinement",,
sharp wit,"knowledge and intelligence, sharp judgment, intellect and refinement",,
fight like cats and dogs,eternal enmity,,
giving scraps,Donating something that is of no use to oneself,,
take it badly,bad; evil,,
don't take offense,bad; evil,,
Bourgeois,Middle-class and conservative,,
Middle-class conservative,Middle-class and conservative,,
Reciting by rote,Speaking in a rehearsed or memorized manner without sincerity,,
Reading from a script,Speaking in a rehearsed or memorized manner without sincerity,,
Two-time someone,To cheat or deceive someone,,
Garden of Eden,The playground of primary rasa (divine love); the grove of wild youth,,
Love nest,The playground of primary rasa (divine love); the grove of wild youth,,
sting of conscience,"regret, intense remorse",,
pangs of remorse,"regret, intense remorse",,
effeminate man,Eunuch; lacking manhood,,
To offer pie in the sky,To give away something one does not possess,,
To promise the moon,To give away something one does not possess,,
Stand one's ground,Refusing to agree under any circumstances; being unwilling to accept something; not changing one's previous stance,,
Be set in one's ways,Refusing to agree under any circumstances; being unwilling to accept something; not changing one's previous stance,,
Stand in opposition,To oppose or resist,,
to live to a ripe old age,to live for a long time,,
long-lived,to live for a long time,,
Eking out a living,To barely survive in a very basic or ordinary manner,,
a twisted little weasel,"A person who is short in stature, crooked in body, and possesses a cunning or devious character",,
short and sneaky,"A person who is short in stature, crooked in body, and possesses a cunning or devious character",,
"Big mouth, small deeds",A person who is incompetent or useless in practice but boasts or brags excessively with words,,
soft-soap someone,Flattering an unworthy or incompetent person by praising them as capable to appease them and inflate their ego for achieving a goal,,
dense,"Ignorant, lacking judgment, foolish",,
Forced labor,To be compelled to do something unwillingly or without any compensation,,
Unpaid drudgery,To be compelled to do something unwillingly or without any compensation,,
as ugly as a mud fence,"In mockery, a very ugly person",,
Selling the family silver,A person who sells ancestral property to sustain themselves,,
Living hand to mouth on inheritance,A person who sells ancestral property to sustain themselves,,
bad timing,untimely or at an inopportune moment,,
Joe Sixpack,"Unspecified men and women, whose names one feels disgust or annoyance to mention",,
Awkward fit,"Ill-proportioned, awkward, not fitting the standard mold",,
Bringer of bad luck,A woman who is ill-fated or brings misfortune,,
caught in a firestorm,a great crisis or dire calamity,,
surrounded by flames,a great crisis or dire calamity,,
Burn at the stake,To surround with fire and burn to death,,
Roast alive,To surround with fire and burn to death,,
bureaucratic maze,"bondage, encirclement or entrapment in restrictions",,
Testing the waters,"To ascertain if the householder is alert or awake, from a thief's perspective",,
Rattling the cage,"To ascertain if the householder is alert or awake, from a thief's perspective",,
Feeling out someone's intentions,To know someone's inner thoughts or intentions indirectly through hints,,
Straddling the issue,Neither here nor there; not committed to either side; indecisive or neutral stance,,
clown in a serious setting,Inappropriate; lacking sense or propriety,,
maverick,Someone who does not follow any rules,,
rickety old thing,afflicted with rheumatism or arthritis,,
Inviolable law,"An infallible, inviolable utterance; eternal or permanent truth, directive from the Vedas; a command that must be strictly obeyed",,
The devil can cite Scripture for his purpose,Justifying unjust actions by citing religious scriptures,,
Twisting the Bible to fit one's agenda,Justifying unjust actions by citing religious scriptures,,
Not in the Bible,To deny or reject a just action by citing religious scriptures,,
Against the teachings of the holy books,To deny or reject a just action by citing religious scriptures,,
Bring coals to Newcastle,Attempt to deceive an experienced person; futile effort,,
Sell ice to Eskimos,Attempt to deceive an experienced person; futile effort,,
in a state of high anxiety,extremely anxious,,
poison in the well,"polluted water, harmful influence; influx of bad or corrupt people",,
Foul one's own nest,Introducing external impurities to spoil one's own accumulated resources,,
fearless,fearless,,
without fear,fearless,,
speak out of turn,"Thoughtless words, inappropriate remarks, unsuitable utterances, words spoken carelessly at the wrong time or place",,
put one's foot in one's mouth,"Thoughtless words, inappropriate remarks, unsuitable utterances, words spoken carelessly at the wrong time or place",,
in toto,"completely, without leaving anything out",,
wholesale,"completely, without leaving anything out",,
in bad taste,"indecent, inappropriate, unrestrained",,
tactless,"indecent, inappropriate, unrestrained",,
Living off others,Sarcastic dependency on others,,
Leaning on someone like a crutch,Sarcastic dependency on others,,
Wit at one's fingertips,Having presence of mind or quick-witted,,
to tarry,to delay or be late,,
to take one's sweet time,to delay or be late,,
The afternoon is wearing on,Afternoon approaching or setting in,,
It's getting late in the day,Afternoon approaching or setting in,,
The day is drawing to a close,The day is drawing to a close; life is coming to an end,,
Time is running out,The day is drawing to a close; life is coming to an end,,
The end is nigh,The day is drawing to a close; life is coming to an end,,
The day is getting on,The day advancing towards noon,,
Noon is approaching,The day advancing towards noon,,
while the sun is up,while it is still daytime; before evening,,
Twilight of one's life,The day drawing to a close; life nearing its end,,
Time running out,The day drawing to a close; life nearing its end,,
