"id","idiom_bn","meaning_bn","idiom_en","meaning_en","idiom_hi","meaning_hi","bridge_text","confidence","source_bn","verified"
"6689","বিষদৃষ্টি","কু নজর","Evil eye', 'The glance of the evil eye","","ईंट का जबाब पत्थर से देना","An eye for an eye; to retaliate with full force; to give a fitting reply.","Evil eye","HIGH","bagdhara","False"
"6690","বিষনজরে পড়া","বিরাগভাজন হওয়া","To fall from grace', ""To incur someone's displeasure"", 'To be under a cloud","","दूध का दूध पानी का पानी हो जाना","The truth will surface; justice will be done and the facts will become clear.","To become the object of displeasure or wrath","HIGH","bagdhara","False"
"6691","বিষ নেই কুলোপানা চক্কর","বিষহীন সাপের ফণার মতো মাথা তুলে অক্ষমের বৃথা আস্ফালন; নির্গুণের অভিমান, ঔদ্ধত্য, ক্রোধ, বাগাড়ম্বর, মৌখিক আস্ফালন","all bark and no bite', 'a paper tiger","","मुँह न लगना","To not feel like eating; to have no appetite.","Like a poisonless snake raising its hood, the vain struggles of the incompetent; the pride, arrogance, anger, bluster, and verbal fussing of the worthless","HIGH","bagdhara","False"
"6692","বিষবৃক্ষ","অনাচারের উৎস, যা লালন করলে নিজেরই সর্বনাশ হয়","Nurse a serpent in one's bosom"", 'A poisoned chalice","","अपना उल्लू सीधा करना","To achieve one's own selfish motive; to act in self-interest without regard for others.","The source of immorality or wrongdoing, which if nurtured leads to one's own complete destruction","HIGH","bagdhara","False"
"6693","বিষম খাওয়া","খাবার গিলতে গিয়ে শ্বাসবন্ধ হওয়ার উপক্রম","Go down the wrong pipe', ""Choke on one's food","","","","The onset of choking or breathlessness while swallowing food","HIGH","bagdhara","False"
"6694","বিষয়-আশয়","অর্থসম্পদ, ধনসম্পত্তি","worldly goods', 'material possessions","","हाथ तंग होना","To be short of money; to be in financial difficulty.","Wealth, financial assets, property","HIGH","bagdhara","False"
"6695","বৈষয়কবুদ্ধি","কাণ্ডজ্ঞান; সাংসারিক জ্ঞান; সম্পত্তি পরিচালনায় কুটবুদ্ধি","Street smarts', 'Worldly wisdom', 'Horse sense","","बूटी काढ़ना","To devise a cunning plan; to concoct a scheme.","Common sense; worldly knowledge; cunning intelligence in managing property","HIGH","bagdhara","False"
"6696","বিষে বিষে বিষক্ষয়","শত্রু দিয়ে শত্রু নাশ","Fight fire with fire', 'One thorn draws out another","","कान भरना","To instigate or incite someone against another person.","One enemy destroys another","HIGH","bagdhara","False"
"6697","বিষের পুঁটুলি","হিংসুঁটে/বিদ্বেষপূর্ণ মন","A viper in one's bosom"", 'Poisonous personality","","","","A spiteful or malicious mind","HIGH","bagdhara","False"
"6698","বিষ্ণুর সুদর্শন চক্র","অন্যায়-অশুভ শক্তির দমনকারী অমোঘ অস্ত্র","the sword of justice', 'divine retribution","","टेड़ी खीर होना","A very difficult task; something that is extremely challenging to accomplish.","An infallible weapon that suppresses unjust and evil forces","HIGH","bagdhara","False"
"6699","বিসমিল্লায় গলদ","শুরুতেই ভুল বা ত্রুটি","Off to a bad start', 'Get off on the wrong foot', 'Rocky start","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","Mistake or error right from the beginning","HIGH","bagdhara","False"
"6700","বিস্বাদ","আকর্ষণশূন্য","bland', 'insipid', 'tasteless","","","","lacking attraction or interest","HIGH","bagdhara","False"
"6701","বীর বক্কেশ্বর","অন্তরে ভীরুপ্রকৃতির মুখে বীরত্ব প্রকাশে অদ্বিতীয় ব্যক্তি","All bark and no bite', 'Paper tiger","","राख में दबा कोयला","A person who appears harmless but is dangerous inside.","A person who is cowardly at heart but unparalleled in expressing bravery through words","HIGH","bagdhara","False"
"6702","বীরভোগ্যা বসুন্ধরা","পৃথিবী বীরগণেরই উপভোগ্য","Fortune favors the bold', 'The world belongs to the brave","","","","The earth is to be enjoyed by the brave","HIGH","bagdhara","False"
"6703","বীরাঙ্গনা","যে নারী বীরত্ব অঙ্গে ধারণ করে; বীর্যবতী নারী","heroine', 'valiant woman', 'woman of valor","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","A woman who embodies bravery; a courageous woman","HIGH","bagdhara","False"
"6704","বুক করা","রেলগাড়ী ইত্যাদির মাধ্যমে মাল পাঠানোর ব্যবস্থা করা","To book a shipment', 'To freight goods","","सीधी उँगली से घी न निकलना","Some tasks require force or cunning; you can't get things done by gentle means alone.","To arrange for sending goods via train or similar means","HIGH","bagdhara","False"
"6705","বুক কাঁপা","ভয় পাওয়া","heart skips a beat', 'shaking with fear","","पानी पानी होना","To be deeply ashamed; to feel intense embarrassment.","to feel fear or terror","HIGH","bagdhara","False"
"6706","বুক চড়চড় করা","হিংসায় বুক ফেটে যাওয়া","Burning with envy', 'Green with envy', 'Fit to burst with jealousy","","मुँह में पानी आना","To feel tempted by delicious food; to have one's mouth water.","To feel one's heart bursting with jealousy or envy","HIGH","bagdhara","False"
"6707","বুক চাপড়ানো","হাহুতাশ করা","beat one's chest","","छाती पीटना","To wail or lament loudly; to express intense grief.","to lament or express despair","HIGH","bagdhara","False"
"6708","বুক চাপড়ানো","হাহুতাশ করা","wring one's hands","","छाती पीटना","To wail or lament loudly; to express intense grief.","to lament or express despair","HIGH","bagdhara","False"
"6709","বুক চিতানো","সাহস বা ভরসা প্রকাশ করা","puff out one's chest"", 'stand tall with bravery","","छाती पीटना","To wail or lament loudly; to express intense grief.","To express courage or confidence","HIGH","bagdhara","False"
"6710","বুক চিতিয়ে চলা","অসঙ্কুচিত হয়ে বা সাহসের সঙ্গে অগ্রসর হওয়া","Walk tall', 'Face the world boldly","","फूँक-फूँक कर कदम रखना","To proceed with extreme caution; to be very careful.","To proceed without hesitation or with courage","HIGH","bagdhara","False"
"6711","বুক ঠোকা","ভরসা বা সাহস প্রকাশ করা","Beat one's chest","","छाती पीटना","To wail or lament loudly; to express intense grief.","To express confidence or courage","HIGH","bagdhara","False"
"6712","বুক ঠোকা","ভরসা বা সাহস প্রকাশ করা","Puff out one's chest","","छाती पीटना","To wail or lament loudly; to express intense grief.","To express confidence or courage","HIGH","bagdhara","False"
"6713","বুক ঢিপঢিপ করা","হৃদকম্প বেড়ে যাওয়া","Heart pounding', 'Butterflies in the stomach","","आँख चुराना","To hide out of shame; to avoid eye contact due to embarrassment or guilt.","The heart beating rapidly due to fear or anxiety","HIGH","bagdhara","False"
"6714","বুক দশহাত হওয়া","আনন্দ ও উৎসাহে হৃদয় প্রসারিত হওয়া; উৎসাহ ও সাহস বর্ধিত হওয়া; গর্বিত হওয়া","puff out one's chest"", 'swell with pride', 'burst with pride","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","The heart expanding with joy and enthusiasm; increased enthusiasm and courage; feeling proud","HIGH","bagdhara","False"
"6715","বুক দেওয়া","কোন কাজে দেহ মন দিয়ে সাহায্য করা; সাধ্যমত সাহায্য করা; সর্বান্তঃকরণে সাহায্য করা","Go all out', 'Lend a helping hand', ""Put one's heart and soul into it","","लोहा लेना","To confront or compete with someone; to measure one's strength against another.","To help wholeheartedly in a task; to assist to the best of one's ability; to provide help with one's body and mind","HIGH","bagdhara","False"
"6716","বুক ধড়ফড় করা","দুর্বলতা অথবা ভয়ে হৃৎপিণ্ড জোরে স্পন্দিত হওয়া","heart pounding', 'heart racing', 'palpitations from fear","","आँख चुराना","To hide out of shame; to avoid eye contact due to embarrassment or guilt.","The heart beating rapidly due to weakness or fear","HIGH","bagdhara","False"
"6717","বুক পাতা","দুঃখ-কষ্ট সহ্য করতে প্রস্তুত থাকা","Brace oneself', ""Steel one's heart","","छाती पर पत्थर रखना","To suppress one's emotions; to bear sorrow stoically.","To be prepared to endure sorrow and hardship","HIGH","bagdhara","False"
"6718","বুক ফাটা","মনোকষ্টে ভেঙ্গে পড়া; প্রচণ্ড দুঃখ/শোক পাওয়া","heartbreaking', ""break one's heart"", ""tear one's heart out","","छाती पीटना","To wail or lament loudly; to express intense grief.","To break down in mental anguish; to experience intense sorrow or grief","HIGH","bagdhara","False"
"6719","বুক ফাটে তো মুখ ফোটে না","অন্তরের গোপন কথা/বাসনা বলার প্রবল ইচ্ছা থাকা সত্ত্বেও মুখে উচ্চারিত হয় না","bite one's tongue"", 'have a secret eating away at you","","जिसकी लाठी उसकी भैंस","Might is right; those with power can do as they please.","Despite a strong inner urge to express secret thoughts or desires, they remain unspoken","HIGH","bagdhara","False"
"6720","বুক ফুলানো","অহংকার করা, আনন্দ ও উৎসাহে হৃদয় প্রসারিত করা; গর্ব প্রকাশ হওয়া","Puff out one's chest"", 'Swollen with pride', 'Burst with pride","","घी के दिए जलाना","To celebrate with great joy; to express happiness extravagantly.","To act arrogantly, to feel the heart expand with joy and enthusiasm; to express pride","HIGH","bagdhara","False"
"6721","বুক বাঁধা","আশা করা; আশায় থাকা","keep one's fingers crossed"", 'hope for the best","","ज्योति जलना","To maintain hope; to keep a tradition alive.","to hope; to be hopeful","HIGH","bagdhara","False"
"6722","বুক বাড়া","সাহস বৃদ্ধি হওয়া","pluck up courage', 'take heart","","चींटी के पर निकलना","For an insignificant person to become arrogant when they gain a little power.","To gain or increase courage","HIGH","bagdhara","False"
"6723","বুক ভাঙা","দুঃখে-শোকে মর্মান্তিক কষ্ট পাওয়া; নিরাশ করা/হওয়া; সাহসহীন হওয়া","heartbreaking', ""break one's heart"", 'lose heart","","चौड़े बेंकर सोना","To be free from all worries; to be completely carefree.","To suffer heart-wrenching pain from sorrow and grief; to disappoint or be disappointed; to become disheartened or lose courage","HIGH","bagdhara","False"
"6724","বুকভাঙা","প্রবল শোকজ্ঞাপক","heartbreaking', 'heart-rending","","छाती पीटना","To wail or lament loudly; to express intense grief.","Intense expression of grief","HIGH","bagdhara","False"
"6725","বুক শুকানো","আশাভরসা লোপ পাওয়া; নিরুৎসাহ বোধ করা","lose heart', 'become disheartened","","अब पछताए होत क्या जब चिड़िया चुग गई खेत","It is no use feeling sorry after something bad has happened (like crying over spilt milk).","Loss of hope and confidence; feeling discouraged","HIGH","bagdhara","False"
"6726","বুকে চড়া","আক্রমণ করা","pounce upon', 'fall upon', 'launch an attack","","टूट पड़ना","To attack fiercely; to suddenly rush upon someone.","to attack or pounce upon","HIGH","bagdhara","False"
"6727","বুকে ঢেঁকির পাড় পড়া","পরশ্রীকাতরতার জন্য মর্মজ্বালায় ছটফট করা; হিংসায় বুক ফেটে যাওয়া","burning with envy', 'green with envy', ""eat one's heart out","","कलेजे पर साँप लोटना","To burn with jealousy or envy.","To writhe in inner torment due to intense envy or longing; the heart bursting with jealousy","HIGH","bagdhara","False"
"6728","বুকে (কারোকে) পিঠে (কারোকে) করা","একজনকে আদর করা অন্যজনকে অনাদর করা","Play favorites', 'Show partiality","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","To favor or pamper one person while neglecting or disrespecting another","HIGH","bagdhara","False"
"6729","বুকে পিঠে করে মানুষ করা","অত্যন্ত আদরযত্নে শিশুকে লালনপালন করা","to spoil rotten', 'to dote upon","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","To raise a child with utmost care and affection","HIGH","bagdhara","False"
"6730","বুকে বসে দাড়ি ওপড়ানো","আশ্রয়দাতা বা প্রতিপালকের অনিষ্ট করা","Bite the hand that feeds you","","अपना उल्लू सीधा करना","To achieve one's own selfish motive; to act in self-interest without regard for others.","Harming or betraying one's benefactor or protector","HIGH","bagdhara","False"
"6731","বুকে বাঁশ ডলা","অতিশয় নির্যাতন করা; কঠিন শাস্তি দেওয়া","Beat someone black and blue', 'Put through the wringer","","गागर में सागर भरना","To express a lot of meaning in a few words; to cover a big subject concisely.","To subject someone to excessive torture; to inflict severe punishment","HIGH","bagdhara","False"
"6732","বুকে হাঁটা","হামাগুড়ি দেওয়া","crawl on all fours', 'go on hands and knees","","","","to crawl on hands and knees","HIGH","bagdhara","False"
"6733","বুকে হাত দিয়ে বলা","আন্তরিকতা বা সাহসের সঙ্গে বলা","Hand on heart', 'Cross my heart","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","Said with sincerity or courage","HIGH","bagdhara","False"
"6734","বুকের পাটা","সাহস, দুঃসাহস","have guts', 'be bold as brass","","","","courage, audacity","HIGH","bagdhara","False"
"6735","বুকের রক্ত চুষে খাওয়া","অশেষ নির্যাতন করে মৃত্যুমুখে ঠেলে দেওয়া","Bleed someone dry', 'Suck the lifeblood out of someone', 'Drive to an early grave","","","","To torment endlessly and push someone to the brink of death","HIGH","bagdhara","False"
"6736","বুকের রক্ত দেওয়া","প্রাণ দেওয়া; নিজের ক্ষতি স্বীকার করে পরের উপকারের জন্য প্রাণত্যাগ করা","Give one's right arm"", ""Lay down one's life"", 'Bleed for someone","","जान पर खेलना","To risk one's life; to endanger oneself.","To give one's life; to sacrifice oneself for the benefit of others, accepting personal loss","HIGH","bagdhara","False"
"6737","বুজরুক","সম্মানার্থে- বয়োবৃদ্ধ ও বিজ্ঞ, সম্মানিত বৃদ্ধ","elder statesman', 'wise old owl","","चाँद पर थूकना","To blame someone who is completely blameless; to defame a highly respected person.","Respectfully referring to an elderly and wise person, a respected elder","HIGH","bagdhara","False"
"6738","বুঝাপড়া","কথাবার্তার দ্বারা নিষ্পত্তি বা মীমাংসা; সমঝোতা","reach an understanding', 'come to terms', 'strike a deal","","अंगारों पर पैर रखना","To perform a very difficult and dangerous task; to walk through fire.","Settlement or resolution through discussion; compromise","HIGH","bagdhara","False"
"6739","বুঝাবুঝি","পরস্পরকে বোঝা; পরস্পরের মনোভাব জানা","On the same wavelength', 'See eye to eye","","","","Mutual understanding; knowing each other's sentiments","HIGH","bagdhara","False"
"6740","বুঝাসুঝা","সহচর শব্দ; বুদ্ধি দিয়ে বিচার এবং বিবেচনা করা; মন দিয়ে শোনা এবং হৃদয়ঙ্গম করা","use your common sense', 'listen with your heart","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","Companion words; judging and considering with intelligence; listening attentively with the mind and comprehending deeply","HIGH","bagdhara","False"
"6741","বুড়বাক","নিরেট বোকা","complete idiot', 'dumb as a post","","उल्लू बनाना","To make a fool of someone; to dupe or trick someone.","utter fool","HIGH","bagdhara","False"
"6742","বুড়ি ছোঁয়া","নামমাত্র নিয়মপালন","Going through the motions', 'Paying lip service","","","","Nominal adherence to rules","HIGH","bagdhara","False"
"6743","বুড়িতে চতুর কাহনে কানা","অল্প খরচে খুব নজর, বেশি খরচে উদাসীনতা","Penny wise and pound foolish","","ऊंट के मुँह में जीरा","A very small amount for a very large need; too little too late.","Very attentive to small expenses, indifferent to large ones","HIGH","bagdhara","False"
"6744","বুড়ো আঙুল চোষা","কিছু না; ফাঁকি","Twiddle one's thumbs","","खाली दिमाग शैतान का घर","Idle minds lead to mischief.","Nothing; to be left empty-handed or idle","HIGH","bagdhara","False"
"6745","বুড়ো আঙুল চোষা","কিছু না; ফাঁকি","Suck one's thumb","","खाली दिमाग शैतान का घर","Idle minds lead to mischief.","Nothing; to be left empty-handed or idle","HIGH","bagdhara","False"
"6746","বুড়ো আঙুল দেখনো","অগ্রাহ্য করা","give someone the finger', 'thumbs down","","आँख फेरना","To turn away from; to disregard or ignore someone, especially after previously favouring them.","to disregard or dismiss contemptuously","HIGH","bagdhara","False"
"6747","বুড়ো আঙুল দেখানো","ফাঁকি দেওয়া, প্রতারণা করা","Thumbing one's nose"", 'Giving the middle finger', 'Flipping the bird","","आंखों में धूल झोंकना","To deceive someone; to pull wool over someone's eyes.","To defy or mock authority, to cheat or deceive openly","HIGH","bagdhara","False"
"6748","বুড়োখোকা","বাচ্চাছেলের মতো আচরণকারী বয়স্ক ব্যক্তির প্রতি বিদ্রুপোক্তি","Silly old fool', 'Big kid in an old body","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","A mocking term for an elderly person who behaves like a child","HIGH","bagdhara","False"
"6749","বুড়ো থুত্থুড়ো","অতি বৃদ্ধ ব্যক্তি","Old codger', 'Doddering elder","","अंग-अंग फूले न समाना","To be overjoyed; extremely delighted.","Extremely old person","HIGH","bagdhara","False"
"6750","বুড়োধাড়ি","বয়সে বুড়ো হলেও জন্তুর মত ব্যবহার","Acting like a beast', 'Grumpy old coot","","बुढ़ापे की लाठी","The sole support in old age (usually a son or daughter).","Old in age but behaves like an animal","HIGH","bagdhara","False"
"6751","বুড়োফাৎনা","অবজ্ঞায়-অশ্রদ্ধেয়, জঘন্য বুড়ো","dirty old man', 'old coot","","बुढ़ापे की लाठी","The sole support in old age (usually a son or daughter).","a contemptible, disrespectful, and vile old man","HIGH","bagdhara","False"
"6752","বুড়োবয়সে ধেড়ে রোগ","বৃদ্ধবয়সে সখ বা সৌখনীতায় আগ্রহ","Old habits die hard', 'A fool at forty is a fool indeed","","बुढ़ापे की लाठी","The sole support in old age (usually a son or daughter).","Interest in hobbies or luxuries in old age","HIGH","bagdhara","False"
"6753","বুড়োবাঁদর","বাঁদরের মতো আচরণ বা স্বভাববিশিষ্ট বৃদ্ধ - নির্বুদ্ধিতার জন্য তিরস্কার","silly old fool', 'old coot","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","An elderly person with monkey-like mischievous or foolish behavior, used to express scorn for silliness or lack of wisdom","HIGH","bagdhara","False"
"6754","বুড়োভাম","অতি বৃদ্ধ বয়স পর্যন্ত বেঁচে থাকা ব্যক্তি","tough old bird', 'lives to a ripe old age","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","A person who lives to a very old age","HIGH","bagdhara","False"
"6755","বুড়োমড়া","মরণোন্মুখ বৃদ্ধ","one foot in the grave', 'living dead","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","a decrepit old person on the verge of death","HIGH","bagdhara","False"
"6756","বুড়োময়না","কামুকা নারী","loose woman', 'nymphomaniac (informal)","","","","A lustful or sexually desirous woman","HIGH","bagdhara","False"
"6757","বুড়োশালিকের ঘাড়ে রোঁ","বুড়োবয়সে বাচ্চাদের মতো আচরণ করা বা যুবকের মতো বেশভূষা সাজসজ্জা করা","Mutton dressed as lamb","","बुढ़ापे की लाठी","The sole support in old age (usually a son or daughter).","Behaving childishly or dressing youthfully in old age","HIGH","bagdhara","False"
"6758","বুড়োহাড়","অভিজ্ঞ ব্যক্তি","old hand', 'veteran","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","experienced person","HIGH","bagdhara","False"
"6759","বুড়ো হাড়ে ভেলকি","অভিজ্ঞতার চমকপ্রদ নিদর্শন","Old dog has new tricks', 'Still got it after all these years","","कुएँ का मेंढक","Someone with a very limited outlook or narrow experience of the world.","A surprising demonstration of experience","HIGH","bagdhara","False"
"6760","বুড়োহাবড়া","কাণ্ডজ্ঞানহীন বৃদ্ধ","Old fool', 'Senile old man","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","An elderly person lacking common sense or judgment","HIGH","bagdhara","False"
"6761","বুদ্ধিতে বৃহস্পতি","সু-অর্থে: পুরাণোক্ত দেবগুরু বৃহস্পতির মতো অতি বুদ্ধিমান; মহাপণ্ডিত। বিদ্রুপে: অল্পবুদ্ধিসম্পন্ন বা আকাট মূর্খ।","Wise as Solomon', 'Not the sharpest tool in the shed","","आपे से बाहर होना","To be extremely angry; to lose complete self-control in rage.","In positive sense: Extremely intelligent like the mythological guru of the gods Brihaspati; a great scholar. In sarcasm: Lacking intelligence or a complete fool.","HIGH","bagdhara","False"
"6762","বুদ্ধির গোড়ায় ধোঁয়া দেওয়া","ধূমপান করে চিন্তাশক্তি বাড়ানো, বুদ্ধি সজাগ করা","Put on one's thinking cap","","चार चाँद लगाना","To greatly enhance the beauty or value of something.","Smoking to enhance mental acuity or awaken intelligence","HIGH","bagdhara","False"
"6763","বুদ্ধির গোড়ায় ধোঁয়া দেওয়া","ধূমপান করে চিন্তাশক্তি বাড়ানো, বুদ্ধি সজাগ করা","Rack one's brains","","चार चाँद लगाना","To greatly enhance the beauty or value of something.","Smoking to enhance mental acuity or awaken intelligence","HIGH","bagdhara","False"
"6764","বুদ্ধিশুদ্ধি","জ্ঞানবুদ্ধি, তীক্ষ্ণ বিচারশক্তি, বুদ্ধি ও সংস্কার","sound judgment', 'sharp wit', 'common sense","","बंदर क्या जाने अदरक का स्वाद","Someone with no knowledge or appreciation of a fine thing.","knowledge and intelligence, sharp judgment, intellect and refinement","HIGH","bagdhara","False"
"6765","বুনো ওল-বাঘা তেঁতুলসম্পর্ক","চিরশত্রুতা","fight like cats and dogs', 'like oil and water","","","","eternal enmity","HIGH","bagdhara","False"
"6766","বুনোহাঁসের পিছনে ছোটা","অনিশ্চিতের পিছনে ছোটা","Wild goose chase","","नौ सौ चूहे खाके बिल्ली हज को चली","To display saintly behaviour after committing many sins; a hypocrite turning pious.","Chasing after uncertainty","HIGH","bagdhara","False"
"6767","বুমেরাঙ","আত্মঘাতী অস্ত্র; ফিরে আসা, নিজের ক্ষতি করে এমন কর্ম","backfire', ""hoist with one's own petard","","टेड़ी खीर होना","A very difficult task; something that is extremely challenging to accomplish.","A self-destructive weapon; something that returns, an action that harms oneself","HIGH","bagdhara","False"
"6768","বুরা","মন্দ; খারাপ","take it badly', ""don't take offense","","नसीब फूटना","To have one's luck turn bad; to suffer misfortune.","bad; evil","HIGH","bagdhara","False"
"6769","বুর্জোয়া","মধ্যবিত্ত ও প্রাচীনপন্থী","Bourgeois', 'Middle-class conservative","","","","Middle-class and conservative","HIGH","bagdhara","False"
"6770","বুর্বাক","বুদ্ধিহীন","Birdbrain', 'Dumb as a post","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","Foolish or brainless","HIGH","bagdhara","False"
"6771","বুলি আওড়ানো","বাঁধা গল্পে শিক্ষিত কথা বলে যাওয়া","Parroting words', 'Reciting by rote', 'Reading from a script","","अपनी खिचड़ी अलग पकाना","To work in isolation; to do things in your own way without regard for others.","Speaking in a rehearsed or memorized manner without sincerity","HIGH","bagdhara","False"
"6772","বৃদ্ধাঙ্গুষ্ঠ দেখানো","ফাঁকি দেওয়া, প্রতারণা করা","Pull a fast one', 'Two-time someone', 'Double-cross","","आंखों में धूल झोंकना","To deceive someone; to pull wool over someone's eyes.","To cheat or deceive someone","HIGH","bagdhara","False"
"6773","বৃন্দাবন","আদিরসের লীলাক্ষেত্র; উদ্দাম যৌবনের উপবন","Garden of Eden', 'Love nest","","","","The playground of primary rasa (divine love); the grove of wild youth","HIGH","bagdhara","False"
"6774","বৃশ্চিক দংশনজ্বালা","অনুতাপ, তীব্র মর্মদাহ","sting of conscience', 'pangs of remorse","","छाती पीटना","To wail or lament loudly; to express intense grief.","regret, intense remorse","HIGH","bagdhara","False"
"6775","বৃষ্টিবাদল","বর্ষাকাল","the rainy season","","","","monsoon season","HIGH","bagdhara","False"
"6776","বৃহন্নলা","ক্লীব; পুরুষত্বহীন","sissy', 'effeminate man","","","","Eunuch; lacking manhood","HIGH","bagdhara","False"
"6777","বেঁকে দাঁড়ানো","প্রতিকূলতা বা বিরোধিতা করা","Go against the grain', 'Stand in opposition","","","","To oppose or resist","HIGH","bagdhara","False"
"6778","বেঁচে বর্তে থাকা","দীর্ঘকাল বাঁচা","to live to a ripe old age', 'long-lived","","गड़े मुरदे उखाड़ना","To bring up past issues that are long forgotten.","to live for a long time","HIGH","bagdhara","False"
"6779","বেঁটেখাটো","খর্বাকৃতি লোক; সবদিক থেকেই খাটো","short and stout', 'small fry","","चींटी के पर निकलना","For an insignificant person to become arrogant when they gain a little power.","A person of short stature; short or insignificant in every aspect","HIGH","bagdhara","False"
"6780","বেঁটে বঙ্কু","একাধারে খর্ব ও বক্রদেহবিশিষ্ট কুটিলচরিত্রের লোক","a twisted little weasel', 'short and sneaky","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","A person who is short in stature, crooked in body, and possesses a cunning or devious character","HIGH","bagdhara","False"
"6781","বেঁড়ে ওস্তাদ","যে কাজে অকর্মণ্য কিন্তু মুখে বাহাদুরি করে","All talk and no action', 'All bark and no bite', 'Big mouth, small deeds","","राख में दबा कोयला","A person who appears harmless but is dangerous inside.","A person who is incompetent or useless in practice but boasts or brags excessively with words","HIGH","bagdhara","False"
"6782","বেঁড়েকে চমরা বলা","গুণহীন বা হীন ব্যক্তিকে গুণবান বলে প্রশংসা করে তোষামোদ করা, যাতে সে গর্বিত হয় এবং কাজ সিদ্ধ হয়","butter someone up', 'soft-soap someone","","गाजर-मूली का भाव बताना","To teach someone a lesson; to show them their real worth.","Flattering an unworthy or incompetent person by praising them as capable to appease them and inflate their ego for achieving a goal","HIGH","bagdhara","False"
"6783","বেকুব","অজ্ঞ, বিচারবুদ্ধিহীন, মূর্খ","fool', 'idiot', 'dense","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","Ignorant, lacking judgment, foolish","HIGH","bagdhara","False"
"6784","বেগড়বাই করা","ঝামেলা করা; বিগড়ে যাওয়া, বিরোধিতা করা","stir up trouble', 'rock the boat","","आग लगाना","To stir up trouble; to create chaos or instigate conflict.","To create trouble; to spoil or go astray, to oppose","HIGH","bagdhara","False"
"6785","বেগার খাটা","অনিচ্ছায় বা বিনা পারিশ্রমিকে বাধ্য হয়ে কিছু করা","Forced labor', 'Working for nothing', 'Unpaid drudgery","","अपनी खिचड़ी अलग पकाना","To work in isolation; to do things in your own way without regard for others.","To be compelled to do something unwillingly or without any compensation","HIGH","bagdhara","False"
"6786","বেগুন গাছে আঁকশি","বিদ্রুপে খুব খর্বাকৃতি লোক","ugly as sin', 'as ugly as a mud fence","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","In mockery, a very ugly person","HIGH","bagdhara","False"
"6787","বেগুনে আগুন","দুর্মূল্যের বাজার","Prices through the roof', 'Skyrocketing prices","","एक तीर से दो निशाने लगाना","To kill two birds with one stone; to solve two problems with a single action.","A market with exorbitant prices","HIGH","bagdhara","False"
"6788","বেঘোর","ভীষণ অসহায়/সঙ্কটময় অবস্থা","in dire straits', 'between a rock and a hard place', 'in a tight spot","","अंग-अंग फूले न समाना","To be overjoyed; extremely delighted.","extremely helpless or dire/crisis situation","HIGH","bagdhara","False"
"6789","বেচারাম","যে ব্যক্তি পৈত্রিকসম্পত্তি বিক্রি করে খায়","Selling the family silver', 'Living hand to mouth on inheritance","","कान का उल्लू होना","To be a foolish or naive person who is easily fooled.","A person who sells ancestral property to sustain themselves","HIGH","bagdhara","False"
"6790","বেটাইম","অসময়","bad timing', 'out of sync","","","","untimely or at an inopportune moment","HIGH","bagdhara","False"
"6791","বেটাচ্ছেলে","নচ্ছার/পাজি লোক - অবজ্ঞাসূচক গালিবিশেষ; সম্বোধিত ব্যক্তির বাপের বাপ হওয়া অর্থে গালি","son of a bitch', 'bastard","","शैतान का नाम लिया, शैतान हाजिर","Speak of the devil; the person you were just talking about suddenly appears.","A mischievous or rogue person - a contemptuous slur; a curse implying the addressed person's grandfather","HIGH","bagdhara","False"
"6792","বেটাবেটি","অনির্দিষ্টি নরনারী, যাদের নাম নিতে ঘৃণা বা বিরক্তি বোধ হয়","Tom, Dick, and Harry', 'Joe Sixpack","","","","Unspecified men and women, whose names one feels disgust or annoyance to mention","HIGH","bagdhara","False"
"6793","বেঢপ","কদাকার, ছাঁচের সাথে মেলে না এমন","Square peg in a round hole', 'Out of place', 'Awkward fit","","घर की मुर्गी दाल बराबर","To undervalue what one already has; a familiar thing is not appreciated.","Ill-proportioned, awkward, not fitting the standard mold","HIGH","bagdhara","False"
"6794","বেড়া-আগুন","মহাসঙ্কট","caught in a firestorm', 'surrounded by flames","","आसमान टूट पड़ना","A sudden great calamity or disaster.","a great crisis or dire calamity","HIGH","bagdhara","False"
