id,idiom_bn,literal_meaning,figurative_meaning_bn,figurative_meaning_en,similar_in_english,similar_in_english_str,example_sentences_bn,source
65,অগ্নিযুগ,অগ্নির যুগ (fire's era),স্বদেশি আন্দোলনের সময়ের সশস্ত্র বিপ্লবের যুগ,The era of armed revolution during the Swadeshi Movement,"['Era of Revolution', 'Age of Fire and Fury']",Era of Revolution; Age of Fire and Fury,"['স্বদেশি আন্দোলনের অগ্নিযুগে অনেক যুবক দেশের জন্য প্রাণ দিয়েছিলেন।', 'ক্ষুদিরাম বসু অগ্নিযুগের একজন সাহসী বিপ্লবী ছিলেন।']",bagdhara
66,অগ্নিশর্মা,অগ্নির শর্মা বা অগ্নিরূপ ধারণকারী (fire-armored or one assuming the form of fire),"অত্যন্ত কোপনস্বভাব-ব্যক্তি; ক্রুদ্ধ, ক্ষিপ্ত","A person with an extremely irritable temperament; angry, furious","['firebrand', 'hot-tempered', 'powder keg']",firebrand; hot-tempered; powder keg,"['সে এক অগ্নিশর্মা মানুষ, সামান্য কথায়ই রেগে যায়।', 'মিটিংয়ে তার অগ্নিশর্মা স্বভাব দেখে সবাই চুপ করে গেল।']",bagdhara
67,অগ্নিসংস্কার,অগ্নি দিয়ে সংস্কার বা শুদ্ধিকরণ,মন্ত্র পড়ে শবদাহ; মৃতদেহ সৎকার,Cremation of the dead body with incantation of mantras,"['last rites', 'funeral pyre']",last rites; funeral pyre,"['তার মৃত্যুর পর পরিবার অগ্নিসংস্কারের ব্যবস্থা করল।', 'গঙ্গাতীরে অগ্নিসংস্কার করে আত্মার মুক্তি কামনা করা হয়।']",bagdhara
68,অগ্নিসাক্ষী,আগুনের সাক্ষ্য,আগুন ছুঁয়ে বা আগুনকে সাক্ষী রেখে শপথ,Swearing an oath by touching fire or invoking fire as a witness,"[""Swear on one's life"", 'Cross my heart and hope to die']",Swear on one's life; Cross my heart and hope to die,"['অগ্নিসাক্ষী করে বলছি, আমি এ ব্যাপারে কিছু জানি না।', 'সে অগ্নিসাক্ষী নিয়ে তার নির্দোষতা ঘোষণা করল।']",bagdhara
69,অগ্নিসেবন,আগুনের সেবা বা উপাসনা,আগুনের তাপ উপভোগ,Enjoying the warmth of the fire,"['Basking by the fireside', 'Toasting oneself by the fire']",Basking by the fireside; Toasting oneself by the fire,"['শীতকালে গ্রামের বাড়িতে অগ্নিসেবন করে গল্প করা খুব মজার।', 'আমরা কাঠ জ্বালিয়ে অগ্নিসেবন করছিলাম সন্ধ্যায়।']",bagdhara
70,অগ্নিতে ঘৃতাহূতি,অগ্নিতে ঘৃতের আহুতি দেওয়া (offering ghee into fire),উত্তেজনা/ক্রোধবৃদ্ধি,intensifying excitement or anger,"['add fuel to the fire', 'pour oil on troubled waters (intensifying version)']",add fuel to the fire; pour oil on troubled waters (intensifying version),"['সে ইতিমধ্যে রাগে ফুঁসছে, তুমি আর অগ্নিতে ঘৃতাহূতি দিয়ো না।', 'বিতর্ক চরমে পৌঁছেছে, এখন অগ্নিতে ঘৃতাহূতি দেওয়ার মতো কথা বলো না।']",bagdhara
71,অগ্নিতে বারিবর্ষণ,অগ্নিতে বৃষ্টিপাত / আগুনে জল ঢালা,উত্তেজনা বা ক্রোধ হ্রাস; রাগ স্থির হওয়া,Reducing excitement or anger; calming rage,"['Pour water on the fire', 'Douse the flames of anger']",Pour water on the fire; Douse the flames of anger,"['তার ক্রোধের অগ্নিতে বারিবর্ষণ করে বন্ধু সবাইকে শান্ত করল।', 'এই খবরে তার উত্তেজনায় অগ্নিতে বারিবর্ষণ হলো।']",bagdhara
72,অগ্রদানী,প্রথম দান গ্রহণকারী,হিন্দুদের শ্রাদ্ধে প্রেতের উদ্দেশ্যে প্রদত্ত তিলদান গ্রহণকারী পতিতব্রাহ্মণ,A fallen Brahmin who accepts the sesame seed offering given for the spirit in Hindu shraddha rituals,[],,"['সমাজে তার অবস্থান এখন অগ্রদানীর মতো হয়েছে।', 'পুরোহিতের পরিবার থেকে বিতাড়িত হয়ে সে অগ্রদানী হয়ে উঠল।']",bagdhara
73,অগ্রদূত,অগ্র (সামনে) + দূত (দূত বা প্রেরিত ব্যক্তি); সামনের দূত,পথপ্রদর্শক,pathfinder or guide,"['trailblazer', 'vanguard']",trailblazer; vanguard,"['তিনি দলের অগ্রদূত হিসেবে এগিয়ে গেলেন।', 'এই উদ্ভাবনটি বিজ্ঞানের অগ্রদূত।']",bagdhara
75,অগ্রপশ্চাৎ,অগ্র (সামনে/ভবিষ্যৎ) এবং পশ্চাৎ (পিছনে/অতীত) বিবেচনা,অগ্রপশ্চাৎ বিবেচনা না করে কাজ করলে ফল ভালো হয় না,Acting without considering future and past consequences leads to unfavorable outcomes,"['Look before you leap', 'Count the cost']",Look before you leap; Count the cost,"['তুমি অগ্রপশ্চাৎ না ভেবে এই সিদ্ধান্ত নিলে পরে আফসোস করবে।', 'জীবনে অগ্রপশ্চাৎ বিবেচনা করা খুব জরুরি, নইলে সমস্যায় পড়বে।']",bagdhara
77,অগ্রপশ্চাত্,অগ্র (সামনে/ভবিষ্যৎ) এবং পশ্চাত্ (পিছনে/ভূত),ভূত-ভবিষ্যৎ,past and future,"['past and future', 'from beginning to end']",past and future; from beginning to end,"['তার অগ্রপশ্চাত্ সবই পরিষ্কার।', 'জ্যোতিষী তার অগ্রপশ্চাত্ বলে দিয়েছে।']",bagdhara
78,অগ্রপাণি,অগ্র (সামনের বা প্রধান) + পাণি (হাত); সামনের হাত,আঙুল; ডানহাত,Index finger; right hand,"['Right-hand man', 'Helping hand']",Right-hand man; Helping hand,"['তার অগ্রপাণি সবসময় সাহায্য করে।', 'অগ্রপাণি দিয়ে ইঙ্গিত করো।']",bagdhara
79,অঘটন ঘটন পটিয়সী,অসম্ভব ঘটনা ঘটানোর পটু নারী,অসাধ্য সাধনে বা অকাজে পটু নারী; মায়া,A woman skilled in achieving the impossible or in futile tasks; illusion (Maya),"['Master of illusion', 'Weaver of dreams']",Master of illusion; Weaver of dreams,"['সে অঘটন ঘটন পটিয়সী, সবসময় অসম্ভবকে সম্ভব করে তোলে।', 'জীবনের মায়া দেখিয়ে সে অঘটন ঘটন পটিয়সী হয়ে উঠেছে।']",bagdhara
80,অঘা,অর্থহীন শব্দসমষ্টি যা বিরক্তি বা অসম্মতির শব্দানুকরণ করে (nonsensical word cluster imitating annoyance or disapproval sounds),বিদ্রুপে নির্বোধ; অকর্মা গালিবিশেষ; তিরস্কার করতে ব্যবহৃত হয়,"In sarcasm, denoting a fool; a special term of abuse for laziness; used for scolding","['silly goose', 'nitwit', 'you lazy bum']",silly goose; nitwit; you lazy bum,"['বাবা, তুমি তো একটা অঘা! এত সহজ কাজও করতে পারো না?', 'ওকে অঘাকান্ত বলে ডেকে স্নেহের সাথে বকলাম।']",bagdhara
81,অঙ্কলক্ষ্মী,অঙ্কে থাকা লক্ষ্মী (lap-dwelling Lakshmi) or অঙ্কে শোয়া নারী (woman who sleeps in the lap),পত্নী; স্ত্রী,Wife; spouse,"['better half', 'the missus']",better half; the missus,"['তার অঙ্কলক্ষ্মী তার জীবনের সবচেয়ে বড় সম্পদ।', 'অঙ্কশায়িনী হিসেবে সে তার স্বামীর সব দুঃখ ভুলিয়ে দেয়।']",bagdhara
82,অঙ্কুরে বিনষ্ট,destroyed at the bud or sprout stage,শুরুতেই নাশ/বিনাশ,destruction right from the beginning,['nipped in the bud'],nipped in the bud,"['তার ব্যবসার পরিকল্পনা অঙ্কুরে বিনষ্ট হয়ে গেল।', 'সেই প্রকল্পের আশা অঙ্কুরে বিনষ্ট হলো।']",bagdhara
